ID,Сумма баллов,Что делает ИИ разумным?,Баллы — Что делает ИИ разумным?,Почему системы искусственного интеллекта ведут себя разумно?,Баллы — Почему системы искусственного интеллекта ведут себя разумно?,В каких областях люди по-прежнему превосходят искусственный интеллект?,Баллы — В каких областях люди по-прежнему превосходят искусственный интеллект?,Что определяет поведение систем ИИ ?,Баллы — Что определяет поведение систем ИИ ?,Чем похожи люди и ИИ?,Баллы — Чем похожи люди и ИИ?,"Сколько сервисов ИИ вы знаете?
","Баллы — Сколько сервисов ИИ вы знаете?
","Есть ли государства в мире, которые регулируют деятельность ИИ на законодательном уровне?
","Баллы — Есть ли государства в мире, которые регулируют деятельность ИИ на законодательном уровне?
",Как системы искусственного интеллекта принимают решения?,Баллы — Как системы искусственного интеллекта принимают решения?,"Предполагается, что ИИ делит изображения на значимые части. Входными данными всегда является изображение. Какая пара вход-выход не имеет значения:","Баллы — Предполагается, что ИИ делит изображения на значимые части. Входными данными всегда является изображение. Какая пара вход-выход не имеет значения:","В ИИ можно провести различие между ""слабым"" и ""сильным"" ИИ. К ""слабому ИИ"" относятся  Системы искусственного интеллекта, обладающие возможностями в ограниченной области. С другой стороны, считаетс...","Баллы — В ИИ можно провести различие между ""слабым"" и ""сильным"" ИИ. К ""слабому ИИ"" относятся  Системы искусственного интеллекта, обладающие возможностями в ограниченной области. С другой стороны, считаетс...",Чего не может сделать слабый ИИ?,Баллы — Чего не может сделать слабый ИИ?,"Представьте, что вы общаетесь с ассистентом в Интернете. Как бы вы поступили, чтобы выяснить, с кем вы общаетесь - с человеком или с искусственным интеллектом? ","Баллы — Представьте, что вы общаетесь с ассистентом в Интернете. Как бы вы поступили, чтобы выяснить, с кем вы общаетесь - с человеком или с искусственным интеллектом? ","Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?","Баллы — Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?","Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?2","Баллы — Как вы считаете, представленный ниже текст написан человеком или искусственным интеллектом?2",Какие этические принципы следует учитывать при разработке ИИ?,Баллы — Какие этические принципы следует учитывать при разработке ИИ?,Каковы основные риски при использовании ИИ для прогнозирования действий полиции?,Баллы — Каковы основные риски при использовании ИИ для прогнозирования действий полиции?,Какие социальные проблемы чаще всего упоминаются в контексте использования ИИ?,Баллы — Какие социальные проблемы чаще всего упоминаются в контексте использования ИИ?,Укажите ваш пол,"Укажите ваш возраст (цифрой)
","Укажите профиль вашего обучения
","Укажите уровень вашего образования
"
114,13,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Да,1,На основе математико-логических принципов,1,Изображение -> видео,1,На данный момент сильного искусственного интеллекта не существует,1,Учиться на неструктурированных данных,0,"Задайте сложный фактологический вопрос, так как только человек может ответить на него",0,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Мужской,18,Технический,Бакалавриат
115,1,ИИ может ходить и говорить,0,"У них нет чувств, которые могли бы отвлечь их от выполнения задачи",0,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,Системы ИИ выполняют действия случайным образом,0,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Один,0,Нет,0,На основе искусственной интуиции,0,Изображение -> число,0,Затрудняюсь ответить,0,"Решать задачи лучше, чем человек",0,"Задайте сложный фактологический вопрос, так как только человек может ответить на него",0,"Искусственный интеллект написал, а человек отредактировал",0,Затрудняюсь ответить,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Затрудняюсь ответить,0,Высокая частота ошибок на производстве с использованием ИИ,0,Мужской,18,Гуманитарный,Бакалавриат
116,3,"ИИ, по крайней мере, не уступает по интеллекту людям",0,"У них нет чувств, которые могли бы отвлечь их от выполнения задачи",0,Затрудняюсь ответить,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Нет,0,"На основе связей, определенных программистами",0,Изображение -> картинка,0,Полностью самоуправляемый автомобиль,0,Принимать решения в условиях неопределенности,0,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,Человеком,1,Человеком,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Нехватка чипов в промышленности из-за высокой вычислительной стоимости AIR,0,Мужской,18,Технический,Бакалавриат
117,3,ИИ может ходить и говорить,0,"У них нет чувств, которые могли бы отвлечь их от выполнения задачи",0,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,Системы ИИ стремятся к автономии,0,Процедуры машинного обучения схожи с процедурами обучения человека,1,Не знаю ни одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> число,0,Полностью самоуправляемый автомобиль,0,Принимать решения в условиях неопределенности,0,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,Искусственным интеллектом,0,"Искусственный интеллект написал, а человек отредактировал",0,"Прозрачность, предотвращение вреда",0,Подрыв авторитета сотрудников полиции,0,Замена рабочей силы на ИИ,1,Мужской,32,Технический,Бакалавриат
118,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,На основе математико-логических принципов,1,Изображение -> вектор,0,Полностью самоуправляемый автомобиль,0,Учиться на неструктурированных данных,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,"Искусственный интеллект написал, а человек отредактировал",0,Человеком,0,"Честность, предотвращение вреда",0,Уязвимость к хакерским атакам,0,Высокая частота ошибок на производстве с использованием ИИ,0,Женский,19,Технический,Бакалавриат
119,17,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Поиск доказательств математической теоремы,1,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Да,1,На основе математико-логических принципов,1,Изображение -> видео,1,На данный момент сильного искусственного интеллекта не существует,1,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Дискриминация подозреваемых по признаку происхождения и статуса,1,Замена рабочей силы на ИИ,1,Мужской,18,Технический,Бакалавриат
120,11,ИИ обладает искусственным мозгом,0,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Затрудняюсь ответить,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> видео,1,На данный момент сильного искусственного интеллекта не существует,1,Решать широкий спектр задач,1,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Затрудняюсь ответить,0,Замена рабочей силы на ИИ,1,Мужской,20,Технический,Бакалавриат
121,11,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Да,1,На основе математико-логических принципов,1,Изображение -> картинка,0,На данный момент сильного искусственного интеллекта не существует,1,"Решать задачи лучше, чем человек",0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Дискриминация подозреваемых по признаку происхождения и статуса,1,Замена рабочей силы на ИИ,1,Мужской,20,Гуманитарный,Бакалавриат
122,8,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Поиск доказательств математической теоремы,1,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Кривые забывания схожи в машинном обучении и в обучении человека,0,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> вектор,0,"Мощная поисковая система (например, Google)",0,Учиться на неструктурированных данных,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Искусственным интеллектом,0,Человеком,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Мужской,18,Технический,Бакалавриат
123,8,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,Они устроены аналогично человеческому мозгу и поэтому обладают сходным интеллектом,0,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Нет,0,На основе математико-логических принципов,1,Затрудняюсь ответить,0,Полностью самоуправляемый автомобиль,0,Принимать решения в условиях неопределенности,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Человеком,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Мужской,22,Технический,Бакалавриат
124,11,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,На основе математико-логических принципов,1,Изображение -> видео,1,На данный момент сильного искусственного интеллекта не существует,1,Учиться на неструктурированных данных,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,"Искусственный интеллект написал, а человек отредактировал",0,Искусственным интеллектом,1,"Прозрачность, предотвращение вреда",0,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Женский,19,Гуманитарный,Бакалавриат
125,2,"ИИ, по крайней мере, не уступает по интеллекту людям",0,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,Системы ИИ самостоятельно ищут цели и добиваются их,0,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> картинка,0,Затрудняюсь ответить,0,"Решать задачи лучше, чем человек",0,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,"Искусственный интеллект написал, а человек отредактировал",0,"Искусственный интеллект написал, а человек отредактировал",0,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Высокая частота ошибок на производстве с использованием ИИ,0,Женский,19,Гуманитарный,Бакалавриат
126,10,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> вектор,0,Полностью самоуправляемый автомобиль,0,"Решать задачи лучше, чем человек",0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Женский,18,Гуманитарный,Бакалавриат
127,5,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Ответы на вопросы викторины,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> число,0,Полностью самоуправляемый автомобиль,0,Решать широкий спектр задач,1,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,Искусственным интеллектом,0,Человеком,0,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Затрудняюсь ответить,0,Женский,19,Гуманитарный,Бакалавриат
128,10,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Затрудняюсь ответить,0,На данный момент сильного искусственного интеллекта не существует,1,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Женский,20,Гуманитарный,Бакалавриат
129,4,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Затрудняюсь ответить,0,Более одного,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,Затрудняюсь ответить,0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,Искусственным интеллектом,0,Человеком,0,"Честность, предотвращение вреда",0,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Женский,19,Гуманитарный,Бакалавриат
130,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,Они мыслят автономно и преследуют свои собственные цели,0,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> вектор,0,Полностью самоуправляемый автомобиль,0,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,"Искусственный интеллект написал, а человек отредактировал",0,Человеком,0,"Прозрачность, предотвращение вреда",0,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Женский,19,Гуманитарный,Бакалавриат
131,8,ИИ обладает искусственным мозгом,0,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Да,1,"На основе связей, определенных программистами",0,Затрудняюсь ответить,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Принимать решения в условиях неопределенности,0,"Задайте сложный фактологический вопрос, так как только человек может ответить на него",0,Человеком,1,Искусственным интеллектом,1,"Прозрачность, предотвращение вреда",0,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Женский,19,Гуманитарный,Бакалавриат
132,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> видео,1,Полностью самоуправляемый автомобиль,0,Принимать решения в условиях неопределенности,0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,Искусственным интеллектом,0,"Искусственный интеллект написал, а человек отредактировал",0,"Предотвращение вреда, прозрачность, беспристрастность",1,Уязвимость к хакерским атакам,0,Замена рабочей силы на ИИ,1,Женский,20,Гуманитарный,Бакалавриат
133,3,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> картинка,0,Полностью самоуправляемый автомобиль,0,Принимать решения в условиях неопределенности,0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,"Искусственный интеллект написал, а человек отредактировал",0,Человеком,0,"Честность, прозрачность",0,Уязвимость к хакерским атакам,0,Нехватка чипов в промышленности из-за высокой вычислительной стоимости AIR,0,Женский,18,Гуманитарный,Бакалавриат
134,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Ответы на вопросы викторины,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> число,0,"Мощная поисковая система (например, Google)",0,Учиться на неструктурированных данных,0,"Задайте сложный фактологический вопрос, так как только человек может ответить на него",0,"Искусственный интеллект написал, а человек отредактировал",0,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Женский,19,Гуманитарный,Бакалавриат
135,9,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Затрудняюсь ответить,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,Затрудняюсь ответить,0,Затрудняюсь ответить,0,"Мощная поисковая система (например, Google)",0,Принимать решения в условиях неопределенности,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Прозрачность, предотвращение вреда",0,Подрыв авторитета сотрудников полиции,0,Замена рабочей силы на ИИ,1,Мужской,19,Гуманитарный,Бакалавриат
136,7,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Затрудняюсь ответить,0,Полностью самоуправляемый автомобиль,0,Учиться на неструктурированных данных,0,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Искусственным интеллектом,0,"Искусственный интеллект написал, а человек отредактировал",0,"Предотвращение вреда, прозрачность, беспристрастность",1,Отсутствие правовой определенности в случае сбоя ИИ,0,Высокая частота ошибок на производстве с использованием ИИ,0,Женский,21,Гуманитарный,Бакалавриат
137,9,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Предсказание экстремальных погодных явлений на основе метеорологических данных,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Да,1,"На основе связей, определенных программистами",0,Изображение -> картинка,0,На данный момент сильного искусственного интеллекта не существует,1,"Решать задачи лучше, чем человек",0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,"Искусственный интеллект написал, а человек отредактировал",0,"Искусственный интеллект написал, а человек отредактировал",0,"Предотвращение вреда, прозрачность, беспристрастность",1,Дискриминация подозреваемых по признаку происхождения и статуса,1,Высокая частота ошибок на производстве с использованием ИИ,0,Женский,19,Гуманитарный,Бакалавриат
139,12,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Поиск доказательств математической теоремы,1,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> число,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Затрудняюсь ответить,0,Замена рабочей силы на ИИ,1,Женский,19,Технический,Бакалавриат
140,6,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,Они устроены аналогично человеческому мозгу и поэтому обладают сходным интеллектом,0,Поиск доказательств математической теоремы,1,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более десяти,1,Да,1,Затрудняюсь ответить,0,Изображение -> вектор,0,Полностью самоуправляемый автомобиль,0,Учиться на неструктурированных данных,0,"Ничего не делать, сэкономить свои усилия, поскольку не сможете отличить человека от ИИ в письменном общении",0,"Искусственный интеллект написал, а человек отредактировал",0,"Искусственный интеллект написал, а человек отредактировал",0,"Прозрачность, предотвращение вреда",0,Дискриминация подозреваемых по признаку происхождения и статуса,1,Нехватка чипов в промышленности из-за высокой вычислительной стоимости AIR,0,Мужской,19,Технический,Бакалавриат
141,8,ИИ обладает искусственным мозгом,0,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Затрудняюсь ответить,0,На основе математико-логических принципов,1,Изображение -> вектор,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,"Искусственный интеллект написал, а человек отредактировал",0,Человеком,0,"Честность, предотвращение вреда",0,Отсутствие правовой определенности в случае сбоя ИИ,0,Замена рабочей силы на ИИ,1,Женский,18,Технический,Бакалавриат
142,14,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Поиск доказательств математической теоремы,1,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Затрудняюсь ответить,0,Более одного,0,Да,1,"На основе связей, определенных программистами",0,Изображение -> видео,1,На данный момент сильного искусственного интеллекта не существует,1,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Дискриминация подозреваемых по признаку происхождения и статуса,1,Замена рабочей силы на ИИ,1,Мужской,18,Технический,Бакалавриат
143,12,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,"Они запрограммированы на то, чтобы стараться достичь поставленной цели как можно лучше",1,Игра в покер,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,Процедуры машинного обучения схожи с процедурами обучения человека,1,Более десяти,1,Затрудняюсь ответить,0,"На основе связей, определенных программистами",0,Изображение -> картинка,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Решать широкий спектр задач,1,"Сделайте ироничное замечание, потому что люди понимают это лучше",1,Человеком,1,Искусственным интеллектом,1,"Предотвращение вреда, прозрачность, беспристрастность",1,Дискриминация подозреваемых по признаку происхождения и статуса,1,Замена рабочей силы на ИИ,1,Мужской,18,Технический,Бакалавриат
144,5,"ИИ действует рационально, чтобы достичь определенной цели как можно лучше",1,Они устроены аналогично человеческому мозгу и поэтому обладают сходным интеллектом,0,Ответы на вопросы викторины,0,"Системы ИИ преследуют цель, поставленную перед ними людьми",1,"Искусственный интеллект, основанный на нейронных сетях, имеет те же сильные и слабые стороны, что и человеческий мозг",0,Более одного,0,Да,1,На основе математико-логических принципов,1,Изображение -> вектор,0," Интеллектуальный виртуальный ассистент (например, Алиса)",0,Учиться на неструктурированных данных,0,"Сделайте несколько опечаток в своем тексте, тогда искусственный интеллект больше не сможет вас понимать, а человек сможет ",0,Искусственным интеллектом,0,Человеком,0,"Честность, предотвращение вреда",0,Затрудняюсь ответить,0,Замена рабочей силы на ИИ,1,Женский,18,Технический,Бакалавриат
